"sc-rbbb40-0","sc-rbbb40-0 2","sc-rbbb40-0 3","sc-1hez2tp-0","sc-1hez2tp-0 2","sc-rbbb40-0 4","sc-s1isp7-5 src","sc-s1isp7-5 src 2","sc-s1isp7-5 src 3","sc-1hez2tp-0 3","sc-s1isp7-5 src 4","sc-1hez2tp-0 4","sc-s1isp7-5 src 5","sc-1hez2tp-0 5","sc-s1isp7-5 src 6","sc-1hez2tp-0 6","sc-s1isp7-5 src 7","sc-1hez2tp-0 7","sc-s1isp7-5 src 8","sc-1hez2tp-0 8","sc-s1isp7-5 src 9","sc-1hez2tp-0 9","sc-s1isp7-5 src 10","sc-1hez2tp-0 10","sc-s1isp7-5 src 11","sc-1hez2tp-0 11","sc-s1isp7-5 src 12","sc-1hez2tp-0 12","sc-jGFFOr href","sc-1hp8d8a-0","sc-1q7bklc-1","sc-jGFFOr href 2","sc-1hp8d8a-0 2","sc-1q7bklc-1 2","sc-1hez2tp-0 13","sc-jGFFOr href 3","sc-1hez2tp-0 14","sc-1hez2tp-0 15","sc-1hp8d8a-0 3","sc-1q7bklc-1 3","sc-1hez2tp-0 16","sc-1hez2tp-0 17","sc-1hez2tp-0 18","sc-1hez2tp-0 19","sc-s1isp7-5 src 13","sc-s1isp7-5 src 14","sc-s1isp7-5 src 15","sc-s1isp7-5 src 16","sc-s1isp7-5 src 17","sc-1hez2tp-0 22","sc-s1isp7-5 src 18","sc-1hez2tp-0 23","sc-s1isp7-5 src 19","sc-s1isp7-5 src 21","sc-1q7bklc-1 4"
"star-fill","star-fill","star-fill","50% OFF up to 100","27 min","","https://www.zomato.com/mumbai/colaba-restaurants","https://www.zomato.com/mumbai/colaba-restaurants","https://www.zomato.com/mumbai/colaba-restaurants","Desserts, Ice Cream","https://www.zomato.com/mumbai/colaba-restaurants","₹100 for one","https://www.zomato.com/mumbai/colaba-restaurants","725+ orders placed from here recently","https://www.zomato.com/mumbai/colaba-restaurants","Follows all Max Safety measures to ensure your food is safe","https://www.zomato.com/mumbai/colaba-restaurants","725+ orders placed from here recently","https://www.zomato.com/mumbai/colaba-restaurants","50% OFF up to 100","https://www.zomato.com/mumbai/colaba-restaurants","34 min","https://www.zomato.com/mumbai/colaba-restaurants","Cafe, Beverages, Bakery, Desserts, French, Fast Food","https://www.zomato.com/mumbai/colaba-restaurants","₹100 for one","","275+ orders placed from here recently","https://www.zomato.com/mumbai/new-kulfi-centre-chowpatty/order","New Kulfi Centre","3.9","https://www.zomato.com/mumbai/suzette-creperie-cafe-nariman-point/order","Suzette Creperie & Cafe","4.1","50% OFF up to 100","https://www.zomato.com/mumbai/angrezi-dhaba-mahalaxmi/order","66 min","North Indian, Biryani, Chinese, Mughlai, Seafood, Kebab, Desserts","Angrezi Dhaba","3.6","₹100 for one","50+ orders placed from here recently","","","","","","","https://www.zomato.com/mumbai/colaba-restaurants","Follows all Max Safety measures to ensure your food is safe","https://www.zomato.com/mumbai/colaba-restaurants","50+ orders placed from here recently","https://www.zomato.com/mumbai/colaba-restaurants","https://www.zomato.com/mumbai/colaba-restaurants",""
"star-fill","star-fill","star-fill","50% OFF up to 100","57 min","","https://www.zomato.com/mumbai/colaba-restaurants","https://www.zomato.com/mumbai/colaba-restaurants","https://www.zomato.com/mumbai/colaba-restaurants","Bakery, Desserts","https://www.zomato.com/mumbai/colaba-restaurants","₹100 for one","https://www.zomato.com/mumbai/colaba-restaurants","50+ orders placed from here recently","https://www.zomato.com/mumbai/colaba-restaurants","Restaurant partner follows WHO protocol","https://www.zomato.com/mumbai/colaba-restaurants","50+ orders placed from here recently","https://www.zomato.com/mumbai/colaba-restaurants","50% OFF up to 100","https://www.zomato.com/mumbai/colaba-restaurants","45 min","https://www.zomato.com/mumbai/colaba-restaurants","North Indian, European, Continental, Asian, Sushi, Chinese","https://www.zomato.com/mumbai/colaba-restaurants","₹100 for one","https://www.zomato.com/mumbai/colaba-restaurants","100+ orders placed from here recently","https://www.zomato.com/mumbai/dolci-e-snacks-colaba/order","Dolci E Snacks","3.8","https://www.zomato.com/mumbai/mitron-at-george-fort/order","Mitron At George","4.1","","https://www.zomato.com/mumbai/meemees-mazgaon/order","46 min","Ice Cream, Bakery","Meemee’s","4.3","₹100 for one","200+ orders placed from here recently","Follows all Max Safety measures to ensure your food is safe","100+ orders placed from here recently","https://www.zomato.com/mumbai/colaba-restaurants","https://www.zomato.com/mumbai/colaba-restaurants","https://www.zomato.com/mumbai/colaba-restaurants","https://www.zomato.com/mumbai/colaba-restaurants","","","","","","",""
"star-fill","star-fill","star-fill","50% OFF up to 100","27 min","","https://www.zomato.com/mumbai/colaba-restaurants","https://www.zomato.com/mumbai/colaba-restaurants","https://www.zomato.com/mumbai/colaba-restaurants","Beverages, Desserts","https://www.zomato.com/mumbai/colaba-restaurants","₹100 for one","https://www.zomato.com/mumbai/colaba-restaurants","900+ orders placed from here recently","https://www.zomato.com/mumbai/colaba-restaurants","Restaurant partner follows WHO protocol","https://www.zomato.com/mumbai/colaba-restaurants","900+ orders placed from here recently","https://www.zomato.com/mumbai/colaba-restaurants","50% OFF up to 100","https://www.zomato.com/mumbai/colaba-restaurants","37 min","https://www.zomato.com/mumbai/colaba-restaurants","Ice Cream, Desserts","https://www.zomato.com/mumbai/colaba-restaurants","₹100 for one","https://www.zomato.com/mumbai/colaba-restaurants","400+ orders placed from here recently","https://www.zomato.com/mumbai/anando-chowpatty/order","Anando","4.0","https://www.zomato.com/mumbai/good-fettle-healthy-ice-cream-breach-candy/order","Good Fettle - Healthy Ice Cream","4.5","50% OFF up to 100","https://www.zomato.com/mumbai/mccafe-by-mcdonalds-colaba/order","35 min","Coffee, Beverages, Burger, Fast Food","McCafe by McDonald's","3.9","₹100 for one","Follows all Max Safety measures to ensure your food is safe","Follows all Max Safety measures to ensure your food is safe","400+ orders placed from here recently","https://www.zomato.com/mumbai/colaba-restaurants","https://www.zomato.com/mumbai/colaba-restaurants","https://www.zomato.com/mumbai/colaba-restaurants","https://www.zomato.com/mumbai/colaba-restaurants","","","","","","",""
"star-fill","","star-fill","50% OFF up to 100","42 min","star-fill","https://www.zomato.com/mumbai/colaba-restaurants","https://www.zomato.com/mumbai/colaba-restaurants","https://www.zomato.com/mumbai/colaba-restaurants","European, Continental, North Indian, Fast Food, Desserts, Beverages","https://www.zomato.com/mumbai/colaba-restaurants","₹100 for one","https://www.zomato.com/mumbai/colaba-restaurants","125+ orders placed from here recently","https://www.zomato.com/mumbai/colaba-restaurants","Restaurant partner follows WHO protocol","https://www.zomato.com/mumbai/colaba-restaurants","125+ orders placed from here recently","https://www.zomato.com/mumbai/colaba-restaurants","50% OFF up to 100","https://www.zomato.com/mumbai/colaba-restaurants","23 min","https://www.zomato.com/mumbai/colaba-restaurants","North Indian, South Indian, Chinese, Fast Food, Street Food, Beverages, Shake","https://www.zomato.com/mumbai/colaba-restaurants","₹100 for one","https://www.zomato.com/mumbai/colaba-restaurants","150+ orders placed from here recently","https://www.zomato.com/mumbai/the-goose-gridiron-fort/order","The Goose & Gridiron","3.6","https://www.zomato.com/mumbai/hotel-saurabh-colaba/order","Hotel Saurabh","","50% OFF up to 100","https://www.zomato.com/mumbai/alfa-kulfi-ice-cream-byculla/order","41 min","Desserts, Ice Cream, Shake","Alfa Kulfi & Ice Cream","4.2","₹100 for one","900+ orders placed from here recently","Restaurant partner follows WHO protocol","150+ orders placed from here recently","https://www.zomato.com/mumbai/colaba-restaurants","https://www.zomato.com/mumbai/colaba-restaurants","https://www.zomato.com/mumbai/colaba-restaurants","https://www.zomato.com/mumbai/colaba-restaurants","","","","","","","3.5"
"star-fill","star-fill","star-fill","50% OFF up to 100","34 min","","https://www.zomato.com/mumbai/colaba-restaurants","https://www.zomato.com/mumbai/colaba-restaurants","","Chinese, Mughlai, North Indian, Sichuan","","₹200 for one","","2675+ orders placed from here recently","","","","","https://www.zomato.com/mumbai/colaba-restaurants","50% OFF up to 100","https://www.zomato.com/mumbai/colaba-restaurants","38 min","https://www.zomato.com/mumbai/colaba-restaurants","Fast Food, Lebanese, Beverages, Shake","https://www.zomato.com/mumbai/colaba-restaurants","₹200 for one","","50+ orders placed from here recently","https://www.zomato.com/mumbai/cafe-irani-cst/order","Cafe Irani","4.0","https://www.zomato.com/mumbai/khans-mumbai-central/order","Khan's","4.0","50% OFF up to 100","https://www.zomato.com/mumbai/sukh-sagar-juice-chowpatty/order","29 min","Beverages, Juices, Fast Food, Pizza, Chinese, Street Food","Sukh Sagar Juice","4.1","₹200 for one","3250+ orders placed from here recently","","","","","","","https://www.zomato.com/mumbai/colaba-restaurants","Restaurant partner follows WHO protocol","https://www.zomato.com/mumbai/colaba-restaurants","3250+ orders placed from here recently","https://www.zomato.com/mumbai/colaba-restaurants","https://www.zomato.com/mumbai/colaba-restaurants",""
"star-fill","","star-fill","50% OFF up to 100","34 min","star-fill","https://www.zomato.com/mumbai/colaba-restaurants","https://www.zomato.com/mumbai/colaba-restaurants","","Maharashtrian, Street Food","https://www.zomato.com/mumbai/colaba-restaurants","₹200 for one","","50+ orders placed from here recently","","Restaurant partner follows WHO protocol","","50+ orders placed from here recently","https://www.zomato.com/mumbai/colaba-restaurants","50% OFF up to 100","https://www.zomato.com/mumbai/colaba-restaurants","58 min","https://www.zomato.com/mumbai/colaba-restaurants","North Indian, Chinese, Sichuan","https://www.zomato.com/mumbai/colaba-restaurants","₹200 for one","https://www.zomato.com/mumbai/colaba-restaurants","300+ orders placed from here recently","https://www.zomato.com/mumbai/jalsa-fast-food-girgaum/order","Jalsa Fast Food","3.9","https://www.zomato.com/mumbai/bhandarkar-restaurant-mahalaxmi/order","Bhandarkar Restaurant","","50% OFF up to 100","https://www.zomato.com/mumbai/famous-bhelpuri-house-colaba/order","21 min","Street Food","Famous Bhelpuri House","4.3","₹200 for one","250+ orders placed from here recently","","","https://www.zomato.com/mumbai/colaba-restaurants","https://www.zomato.com/mumbai/colaba-restaurants","https://www.zomato.com/mumbai/colaba-restaurants","","","","","","","","3.3"
"star-fill","","star-fill","50% OFF up to 100","34 min","","https://www.zomato.com/mumbai/colaba-restaurants","","","South Indian","","₹200 for one","","","","","","","https://www.zomato.com/mumbai/colaba-restaurants","50% OFF up to 100","https://www.zomato.com/mumbai/colaba-restaurants","39 min","https://www.zomato.com/mumbai/colaba-restaurants","Mithai, Mishti, Desserts, Street Food","https://www.zomato.com/mumbai/colaba-restaurants","₹200 for one","","850+ orders placed from here recently","https://www.zomato.com/mumbai/pongal-express-grant-road/order","Pongal Express","4.0","https://www.zomato.com/mumbai/brijwasi-sweets-1-breach-candy/order","Brijwasi Sweets","","50% OFF up to 100","https://www.zomato.com/mumbai/relish-international-veg-cuisine-churchgate/order","30 min","Fast Food, Italian, Chinese, North Indian, Desserts, Beverages","Relish - International Veg Cuisine","4.1","₹200 for one","500+ orders placed from here recently","","","","","","","https://www.zomato.com/mumbai/colaba-restaurants","Restaurant partner follows WHO protocol","https://www.zomato.com/mumbai/colaba-restaurants","500+ orders placed from here recently","https://www.zomato.com/mumbai/colaba-restaurants","https://www.zomato.com/mumbai/colaba-restaurants",""
"star-fill","star-fill","star-fill","50% OFF up to 100","41 min","","https://www.zomato.com/mumbai/colaba-restaurants","https://www.zomato.com/mumbai/colaba-restaurants","","North Indian","","₹200 for one","","100+ orders placed from here recently","","","","","https://www.zomato.com/mumbai/colaba-restaurants","50% OFF up to 100","https://www.zomato.com/mumbai/colaba-restaurants","50 min","https://www.zomato.com/mumbai/colaba-restaurants","North Indian, Chinese, Biryani, Beverages, Sichuan","https://www.zomato.com/mumbai/colaba-restaurants","₹200 for one","","125+ orders placed from here recently","https://www.zomato.com/mumbai/delhi-pulao-corner-byculla/order","Delhi Pulao Corner","3.6","https://www.zomato.com/mumbai/shree-ram-punjab-sewri/order","Shree Ram Punjab","3.7","50% OFF up to 100","https://www.zomato.com/mumbai/the-halal-bros-parel/order","59 min","North Indian, Mughlai, Biryani","The Halal Bros.","3.2","₹200 for one","175+ orders placed from here recently","","","","","","","https://www.zomato.com/mumbai/colaba-restaurants","Follows all Max Safety measures to ensure your food is safe","https://www.zomato.com/mumbai/colaba-restaurants","175+ orders placed from here recently","https://www.zomato.com/mumbai/colaba-restaurants","https://www.zomato.com/mumbai/colaba-restaurants",""
"star-fill","star-fill","star-fill","50% OFF up to 100","46 min","","https://www.zomato.com/mumbai/colaba-restaurants","https://www.zomato.com/mumbai/colaba-restaurants","https://www.zomato.com/mumbai/colaba-restaurants","Desserts, Shake, Beverages","https://www.zomato.com/mumbai/colaba-restaurants","₹150 for one","https://www.zomato.com/mumbai/colaba-restaurants","1150+ orders placed from here recently","https://www.zomato.com/mumbai/colaba-restaurants","Restaurant partner follows WHO protocol","https://www.zomato.com/mumbai/colaba-restaurants","1150+ orders placed from here recently","https://www.zomato.com/mumbai/colaba-restaurants","50% OFF up to 100","https://www.zomato.com/mumbai/colaba-restaurants","60 min","https://www.zomato.com/mumbai/colaba-restaurants","Biryani","https://www.zomato.com/mumbai/colaba-restaurants","₹150 for one","https://www.zomato.com/mumbai/colaba-restaurants","275+ orders placed from here recently","https://www.zomato.com/mumbai/shahi-durbar-and-ice-cream-factory-mumbai-central/order","Shahi Durbar And Ice Cream Factory","3.7","https://www.zomato.com/mumbai/bamboo-biryani-house-lower-parel/order","Bamboo Biryani House","4.2","50% OFF up to 100","https://www.zomato.com/mumbai/daniel-p%C3%A2tissier-marine-lines/order","28 min","Bakery, Desserts","Daniel Pâtissier","4.3","₹150 for one","725+ orders placed from here recently","Follows all Max Safety measures to ensure your food is safe","275+ orders placed from here recently","https://www.zomato.com/mumbai/colaba-restaurants","https://www.zomato.com/mumbai/colaba-restaurants","https://www.zomato.com/mumbai/colaba-restaurants","https://www.zomato.com/mumbai/colaba-restaurants","","","","","","",""
"star-fill","star-fill","star-fill","50% OFF up to 100","32 min","","https://www.zomato.com/mumbai/colaba-restaurants","https://www.zomato.com/mumbai/colaba-restaurants","https://www.zomato.com/mumbai/colaba-restaurants","Italian, American, Continental, Fast Food","https://www.zomato.com/mumbai/colaba-restaurants","₹150 for one","https://www.zomato.com/mumbai/colaba-restaurants","300+ orders placed from here recently","https://www.zomato.com/mumbai/colaba-restaurants","Follows all Max Safety measures to ensure your food is safe","https://www.zomato.com/mumbai/colaba-restaurants","300+ orders placed from here recently","https://www.zomato.com/mumbai/colaba-restaurants","50% OFF up to 100","https://www.zomato.com/mumbai/colaba-restaurants","41 min","https://www.zomato.com/mumbai/colaba-restaurants","Mithai, Street Food, Desserts","https://www.zomato.com/mumbai/colaba-restaurants","₹150 for one","","50+ orders placed from here recently","https://www.zomato.com/mumbai/woodside-inn-colaba/order","Woodside Inn","3.9","https://www.zomato.com/mumbai/sangeeta-peddar-road/order","Sangeeta","3.8","50% OFF up to 100","https://www.zomato.com/mumbai/ko-chi-minh-chowpatty/order","50 min","Korean","Ko Chi Minh","3.8","₹150 for one","200+ orders placed from here recently","","","","","","","","","","","","",""
"star-fill","star-fill","star-fill","50% OFF up to 100","37 min","","https://b.zmtcdn.com/data/pictures/0/40580/9396f71adb5c6a4180b488f7db3e9d85_o2_featured_v2.jpg","https://www.zomato.com/mumbai/colaba-restaurants","https://b.zmtcdn.com/data/o2_assets/4bf016f32f05d26242cea342f30d47a31595763089.png","Desserts, Frozen Yogurt","https://b.zmtcdn.com/data/pictures/chains/2/19745732/50c70d77a3895439584c9e2b9dec2567_o2_featured_v2.jpg","₹150 for one","https://www.zomato.com/mumbai/colaba-restaurants","750+ orders placed from here recently","https://b.zmtcdn.com/data/o2_assets/0b07ef18234c6fdf9365ad1c274ae0631612687510.png","Follows all Max Safety measures to ensure your food is safe","https://b.zmtcdn.com/data/o2_assets/4bf016f32f05d26242cea342f30d47a31595763089.png","750+ orders placed from here recently","https://b.zmtcdn.com/data/o2_assets/0b07ef18234c6fdf9365ad1c274ae0631612687510.png","50% OFF up to 100","https://b.zmtcdn.com/data/o2_assets/4bf016f32f05d26242cea342f30d47a31595763089.png","25 min","https://b.zmtcdn.com/data/pictures/7/18897157/b14319abd7221736a8df299f10988a3d_o2_featured_v2.jpg","Ice Cream, Desserts","https://www.zomato.com/mumbai/colaba-restaurants","₹150 for one","https://b.zmtcdn.com/data/o2_assets/695598f38d29d0e5d3f8ffe57cfdb94c1613145422.png","","https://www.zomato.com/mumbai/6th-street-yogurt-kemps-corner/order","6th Street Yogurt","3.6","https://www.zomato.com/mumbai/globo-ice-creams-of-the-world-1-colaba/order","GLOBO Ice Creams Of The World","4.2","50% OFF up to 100","https://www.zomato.com/mumbai/shreejis-marine-lines/order","38 min","North Indian, South Indian, Chinese, Street Food, Fast Food, Sichuan","Shreeji's","4.0","₹150 for one","225+ orders placed from here recently","","","","https://b.zmtcdn.com/data/o2_assets/695598f38d29d0e5d3f8ffe57cfdb94c1613145422.png","https://b.zmtcdn.com/data/o2_assets/4bf016f32f05d26242cea342f30d47a31595763089.png","","","Restaurant partner follows WHO protocol","","225+ orders placed from here recently","https://www.zomato.com/mumbai/colaba-restaurants","",""
"star-fill","star-fill","star-fill","50% OFF up to 100","38 min","","https://b.zmtcdn.com/data/pictures/6/18529626/eee9d3b7819defe9ec98f9f1d0f552ce_o2_featured_v2.jpg","https://www.zomato.com/mumbai/colaba-restaurants","https://b.zmtcdn.com/data/o2_assets/4bf016f32f05d26242cea342f30d47a31595763089.png","Continental, North Indian, Pizza, Beverages, Fast Food","https://www.zomato.com/mumbai/colaba-restaurants","₹150 for one","https://www.zomato.com/mumbai/colaba-restaurants","450+ orders placed from here recently","https://b.zmtcdn.com/data/o2_assets/0b07ef18234c6fdf9365ad1c274ae0631612687510.png","Follows all Max Safety measures to ensure your food is safe","https://www.zomato.com/mumbai/colaba-restaurants","450+ orders placed from here recently","https://b.zmtcdn.com/data/o2_assets/0b07ef18234c6fdf9365ad1c274ae0631612687510.png","50% OFF up to 100","https://b.zmtcdn.com/data/o2_assets/4bf016f32f05d26242cea342f30d47a31595763089.png","24 min","https://b.zmtcdn.com/data/pictures/4/20444744/f577bcb424fa339b171177592037f003_o2_featured_v2.jpg","European, Mexican, Italian, Continental, Desserts, Beverages","https://b.zmtcdn.com/data/o2_assets/0b07ef18234c6fdf9365ad1c274ae0631612687510.png","₹150 for one","https://b.zmtcdn.com/data/o2_assets/0b07ef18234c6fdf9365ad1c274ae0631612687510.png","625+ orders placed from here recently","https://www.zomato.com/mumbai/rising-cafe-diner-charni-road/order","Rising Cafe & Diner","4.0","https://www.zomato.com/mumbai/spesso-gourmet-kitchen-nariman-point/order","Spesso Gourmet Kitchen","4.1","50% OFF up to 100","https://www.zomato.com/mumbai/veeda-the-vegetarian-life-marine-lines/order","35 min","Italian, Continental, Asian, Chinese, Fast Food, Beverages, Desserts","Veeda - The Vegetarian Life","-","₹150 for one","100+ orders placed from here recently","Follows all Max Safety measures to ensure your food is safe","625+ orders placed from here recently","https://b.zmtcdn.com/data/o2_assets/4bf016f32f05d26242cea342f30d47a31595763089.png","https://b.zmtcdn.com/data/o2_assets/4bf016f32f05d26242cea342f30d47a31595763089.png","","https://b.zmtcdn.com/data/pictures/chains/8/46518/0665f32ecd153fdca1e8f3c2cee76c8b_o2_featured_v2.jpg","https://b.zmtcdn.com/data/o2_assets/4bf016f32f05d26242cea342f30d47a31595763089.png","","","","","",""
"star-fill","star-fill","star-fill","50% OFF up to 100","39 min","","https://b.zmtcdn.com/data/pictures/7/40677/c1734cef24ad53e004bcbe550be9d322_o2_featured_v2.jpg","https://www.zomato.com/mumbai/colaba-restaurants","","North Indian","","₹200 for one","","125+ orders placed from here recently","","","","","","50% OFF up to 100","https://www.zomato.com/mumbai/colaba-restaurants","31 min","https://b.zmtcdn.com/data/pictures/6/19732256/f20617370570f02879bb2984a8a4cf55_o2_featured_v2.jpg","BBQ, North Indian","https://www.zomato.com/mumbai/colaba-restaurants","₹200 for one","","150+ orders placed from here recently","https://www.zomato.com/mumbai/delhi-rasoi-1-girgaum/order","Delhi Rasoi","3.8","https://www.zomato.com/mumbai/barbeque-shack-colaba/order","Barbeque Shack","4.3","50% OFF up to 100","https://www.zomato.com/mumbai/ice-n-spice-mazgaon/order","53 min","North Indian, Chinese, Fast Food, Rolls, Seafood, Sichuan","Ice-N-spice","4.0","₹200 for one","50+ orders placed from here recently","","","","","","https://b.zmtcdn.com/data/pictures/6/20083826/635139b972d6d5d25564ee0b2cf737d4_o2_featured_v2.jpg","","","","","","",""
"star-fill","star-fill","star-fill","50% OFF up to 100","42 min","","https://www.zomato.com/mumbai/colaba-restaurants","https://www.zomato.com/mumbai/colaba-restaurants","https://www.zomato.com/mumbai/colaba-restaurants","Healthy Food, Wraps, Rolls","https://www.zomato.com/mumbai/colaba-restaurants","₹200 for one","https://www.zomato.com/mumbai/colaba-restaurants","425+ orders placed from here recently","https://www.zomato.com/mumbai/colaba-restaurants","Follows all Max Safety measures to ensure your food is safe","https://www.zomato.com/mumbai/colaba-restaurants","425+ orders placed from here recently","https://www.zomato.com/mumbai/colaba-restaurants","50% OFF up to 100","https://www.zomato.com/mumbai/colaba-restaurants","33 min","https://www.zomato.com/mumbai/colaba-restaurants","North Indian, Chinese, Mughlai, South Indian, Street Food, Desserts, Beverages, Sichuan","https://www.zomato.com/mumbai/colaba-restaurants","₹200 for one","https://www.zomato.com/mumbai/colaba-restaurants","375+ orders placed from here recently","https://www.zomato.com/mumbai/eat-right-chef-by-flamboyante-cuffe-parade/order","Eat Right Chef by Flamboyante","4.3","https://www.zomato.com/mumbai/santoor-cuffe-parade/order","Santoor","4.3","50% OFF up to 100","https://www.zomato.com/mumbai/gables-colaba/order","42 min","Continental, Goan, Fast Food","Gables","3.5","₹200 for one","100+ orders placed from here recently","Follows all Max Safety measures to ensure your food is safe","375+ orders placed from here recently","https://www.zomato.com/mumbai/colaba-restaurants","https://www.zomato.com/mumbai/colaba-restaurants","https://www.zomato.com/mumbai/colaba-restaurants","https://www.zomato.com/mumbai/colaba-restaurants","https://www.zomato.com/mumbai/colaba-restaurants","Restaurant partner follows WHO protocol","https://www.zomato.com/mumbai/colaba-restaurants","100+ orders placed from here recently","https://www.zomato.com/mumbai/colaba-restaurants","https://www.zomato.com/mumbai/colaba-restaurants",""
"star-fill","","star-fill","50% OFF up to 100","31 min","star-fill","https://www.zomato.com/mumbai/colaba-restaurants","https://www.zomato.com/mumbai/colaba-restaurants","","North Indian, South Indian, Chinese, Biryani, Sandwich, Desserts, Juices, Beverages","","₹200 for one","","50+ orders placed from here recently","","","","","https://www.zomato.com/mumbai/colaba-restaurants","50% OFF up to 100","https://www.zomato.com/mumbai/colaba-restaurants","48 min","https://www.zomato.com/mumbai/colaba-restaurants","Pizza, Sandwich, Pasta, Fast Food, Street Food, Ice Cream, Shake, Beverages","https://www.zomato.com/mumbai/colaba-restaurants","₹200 for one","","150+ orders placed from here recently","https://www.zomato.com/mumbai/madras-bhuvan-kalbadevi/order","Madras Bhuvan","4.0","https://www.zomato.com/mumbai/plantinum-snack-bar-grant-road/order","Plantinum Snack Bar","","50% OFF up to 100","https://www.zomato.com/mumbai/new-high-class-tardeo/order","40 min","Chinese, Sichuan, North Indian, Mughlai, Street Food, Biryani","New High Class","4.0","₹200 for one","175+ orders placed from here recently","","","","","","","","","","","","","-"
"star-fill","star-fill","star-fill","50% OFF up to 100","33 min","","https://www.zomato.com/mumbai/colaba-restaurants","https://www.zomato.com/mumbai/colaba-restaurants","https://www.zomato.com/mumbai/colaba-restaurants","Paan","https://www.zomato.com/mumbai/colaba-restaurants","₹200 for one","https://www.zomato.com/mumbai/colaba-restaurants","300+ orders placed from here recently","https://www.zomato.com/mumbai/colaba-restaurants","Restaurant partner follows WHO protocol","https://www.zomato.com/mumbai/colaba-restaurants","300+ orders placed from here recently","https://www.zomato.com/mumbai/colaba-restaurants","50% OFF up to 100","https://www.zomato.com/mumbai/colaba-restaurants","33 min","https://www.zomato.com/mumbai/colaba-restaurants","North Indian, Chinese, Mughlai, Maharashtrian, Biryani, Sichuan","https://www.zomato.com/mumbai/colaba-restaurants","₹200 for one","https://www.zomato.com/mumbai/colaba-restaurants","350+ orders placed from here recently","https://www.zomato.com/mumbai/swati-pan-mukhwas-tardeo/order","Swati Pan Mukhwas","4.0","https://www.zomato.com/mumbai/paramount-mohammad-ali-road/order","Paramount","3.6","50% OFF up to 100","https://www.zomato.com/mumbai/flute-24-hrs-grant-road/order","41 min","North Indian, Chinese, Italian, Biryani, Sichuan","Flute 24 Hrs","3.8","₹200 for one","225+ orders placed from here recently","Follows all Max Safety measures to ensure your food is safe","350+ orders placed from here recently","https://www.zomato.com/mumbai/colaba-restaurants","https://www.zomato.com/mumbai/colaba-restaurants","https://www.zomato.com/mumbai/colaba-restaurants","https://www.zomato.com/mumbai/colaba-restaurants","https://www.zomato.com/mumbai/colaba-restaurants","Restaurant partner follows WHO protocol","https://www.zomato.com/mumbai/colaba-restaurants","225+ orders placed from here recently","https://www.zomato.com/mumbai/colaba-restaurants","https://www.zomato.com/mumbai/colaba-restaurants",""
"star-fill","","star-fill","50% OFF up to 100","31 min","star-fill","https://www.zomato.com/mumbai/colaba-restaurants","https://b.zmtcdn.com/data/o2_assets/4bf016f32f05d26242cea342f30d47a31595763089.png","https://b.zmtcdn.com/data/o2_assets/4bf016f32f05d26242cea342f30d47a31595763089.png","North Indian, South Indian, Chinese, Biryani, Sandwich, Desserts, Juices, Beverages","","₹200 for one","","50+ orders placed from here recently","","","","","https://www.zomato.com/mumbai/colaba-restaurants","50% OFF up to 100","","48 min","https://www.zomato.com/mumbai/colaba-restaurants","Pizza, Sandwich, Pasta, Fast Food, Street Food, Ice Cream, Shake, Beverages","","₹200 for one","","150+ orders placed from here recently","https://www.zomato.com/mumbai/madras-bhuvan-kalbadevi/order","Madras Bhuvan","4.0","https://www.zomato.com/mumbai/plantinum-snack-bar-grant-road/order","Plantinum Snack Bar","","50% OFF up to 100","https://www.zomato.com/mumbai/new-high-class-tardeo/order","40 min","Chinese, Sichuan, North Indian, Mughlai, Street Food, Biryani","New High Class","4.0","₹200 for one","175+ orders placed from here recently","","","","https://b.zmtcdn.com/data/o2_assets/4bf016f32f05d26242cea342f30d47a31595763089.png","","","","","","","","","-"
