"sc-rbbb40-0","sc-rbbb40-0 2","sc-rbbb40-0 3","sc-1hez2tp-0","sc-1hez2tp-0 2","sc-rbbb40-0 4","sc-s1isp7-5 src","sc-s1isp7-5 src 2","sc-s1isp7-5 src 3","sc-1hez2tp-0 3","sc-s1isp7-5 src 4","sc-1hez2tp-0 4","sc-s1isp7-5 src 5","sc-1hez2tp-0 5","sc-s1isp7-5 src 6","sc-1hez2tp-0 6","sc-s1isp7-5 src 7","sc-1hez2tp-0 7","sc-s1isp7-5 src 8","sc-1hez2tp-0 8","sc-s1isp7-5 src 9","sc-1hez2tp-0 9","sc-s1isp7-5 src 10","sc-1hez2tp-0 10","sc-s1isp7-5 src 11","sc-1hez2tp-0 11","sc-s1isp7-5 src 12","sc-1hez2tp-0 12","sc-1hp8d8a-0","sc-1q7bklc-1","sc-1hp8d8a-0 2","sc-1q7bklc-1 2","sc-1hez2tp-0 13","sc-1hez2tp-0 14","sc-s1isp7-5 src 13","sc-s1isp7-5 src 14","sc-1hez2tp-0 15","sc-1hez2tp-0 16","sc-1hez2tp-0 17","sc-1hp8d8a-0 3","sc-1q7bklc-1 3","sc-1hez2tp-0 18","sc-1hez2tp-0 19","sc-s1isp7-5 src 16","sc-1hez2tp-0 20","sc-s1isp7-5 src 17","sc-1hez2tp-0 21","sc-s1isp7-5 src 18","sc-1hez2tp-0 22","sc-s1isp7-5 src 19","sc-s1isp7-5 src 20","sc-jGFFOr href","sc-jGFFOr href 2","sc-jGFFOr href 3","sc-1q7bklc-1 4"
"star-fill","","star-fill","","50% OFF up to 100","star-fill","https://www.zomato.com/mumbai/powai-restaurants","https://www.zomato.com/mumbai/powai-restaurants","","50 min","","Street Food","","₹150 for one","","1175+ orders placed from here recently","","","https://www.zomato.com/mumbai/powai-restaurants","","https://www.zomato.com/mumbai/powai-restaurants","37 min","https://www.zomato.com/mumbai/powai-restaurants","Beverages, Juices, Shake","https://www.zomato.com/mumbai/powai-restaurants","₹150 for one","https://www.zomato.com/mumbai/powai-restaurants","1050+ orders placed from here recently","Shree Nathji Pav Bhaji Center","3.9","The Healthy Farm","","50% OFF up to 100","43 min","https://www.zomato.com/mumbai/powai-restaurants","https://www.zomato.com/mumbai/powai-restaurants","North Indian, South Indian, Mughlai, Chinese, Fast Food, Desserts, Beverages","₹150 for one","1200+ orders placed from here recently","Gopal Krishna","4.2","Follows all Max Safety measures to ensure your food is safe","1200+ orders placed from here recently","https://www.zomato.com/mumbai/powai-restaurants","50% OFF up to 100","","","","","","","https://www.zomato.com/mumbai/shree-nathji-pav-bhaji-center-near-andheri-east-station/order","https://www.zomato.com/mumbai/the-healthy-farm-sakinaka/order","https://www.zomato.com/mumbai/gopal-krishna-chakala/order","3.5"
"star-fill","","star-fill","Pro extra 20% OFF","50% OFF up to 100","star-fill","https://www.zomato.com/mumbai/powai-restaurants","https://www.zomato.com/mumbai/powai-restaurants","https://www.zomato.com/mumbai/powai-restaurants","57 min","https://www.zomato.com/mumbai/powai-restaurants","Chinese, Asian, Sichuan, Thai","https://www.zomato.com/mumbai/powai-restaurants","₹150 for one","https://www.zomato.com/mumbai/powai-restaurants","625+ orders placed from here recently","https://www.zomato.com/mumbai/powai-restaurants","Restaurant partner follows WHO protocol","https://www.zomato.com/mumbai/powai-restaurants","625+ orders placed from here recently","https://www.zomato.com/mumbai/powai-restaurants","59 min","https://www.zomato.com/mumbai/powai-restaurants","Pizza, Beverages","https://www.zomato.com/mumbai/powai-restaurants","₹150 for one","","75+ orders placed from here recently","Fat Monk Chinese","3.8","Black Bay Pizza","","50% OFF up to 100","58 min","","","Street Food, Maharashtrian, Sandwich","₹150 for one","2500+ orders placed from here recently","Maruti Pav Bhaji","4.0","","","","50% OFF up to 100","https://www.zomato.com/mumbai/powai-restaurants","Follows all Max Safety measures to ensure your food is safe","https://www.zomato.com/mumbai/powai-restaurants","75+ orders placed from here recently","https://www.zomato.com/mumbai/powai-restaurants","https://www.zomato.com/mumbai/powai-restaurants","https://www.zomato.com/mumbai/fat-monk-chinese-sakinaka/order","https://www.zomato.com/mumbai/black-bay-pizza-ghatkopar-east/order","https://www.zomato.com/mumbai/maruti-pav-bhaji-1-vile-parle-west/order","3.4"
"star-fill","star-fill","star-fill","","50% OFF up to 100","","https://www.zomato.com/mumbai/powai-restaurants","https://www.zomato.com/mumbai/powai-restaurants","https://www.zomato.com/mumbai/powai-restaurants","48 min","https://www.zomato.com/mumbai/powai-restaurants","Bakery, Desserts, Shake, Beverages","https://www.zomato.com/mumbai/powai-restaurants","₹150 for one","https://www.zomato.com/mumbai/powai-restaurants","400+ orders placed from here recently","https://www.zomato.com/mumbai/powai-restaurants","Follows all Max Safety measures to ensure your food is safe","https://www.zomato.com/mumbai/powai-restaurants","400+ orders placed from here recently","https://www.zomato.com/mumbai/powai-restaurants","47 min","https://www.zomato.com/mumbai/powai-restaurants","North Indian, Chinese, Desserts, Beverages, Sichuan","https://www.zomato.com/mumbai/powai-restaurants","₹150 for one","","525+ orders placed from here recently","LSD - Love Sugar & Dough","3.6","Sudarshan","3.6","50% OFF up to 100","30 min","","","Bakery, Desserts","₹150 for one","125+ orders placed from here recently","Sweet County","4.0","","","","50% OFF up to 100","","","","","","","https://www.zomato.com/mumbai/lsd-love-sugar-dough-1-ghatkopar-east/order","https://www.zomato.com/mumbai/sudarshan-jogeshwari/order","https://www.zomato.com/mumbai/sweet-county-powai/order",""
"star-fill","star-fill","star-fill","","50% OFF up to 100","","https://www.zomato.com/mumbai/powai-restaurants","https://www.zomato.com/mumbai/powai-restaurants","","32 min","","Chinese, Asian, Momos, Sichuan","","₹300 for one","","350+ orders placed from here recently","","","https://www.zomato.com/mumbai/powai-restaurants","","https://www.zomato.com/mumbai/powai-restaurants","22 min","https://www.zomato.com/mumbai/powai-restaurants","Bakery, Desserts","https://www.zomato.com/mumbai/powai-restaurants","₹300 for one","https://www.zomato.com/mumbai/powai-restaurants","700+ orders placed from here recently","Dimsum Wū","3.7","Moussestruck","4.3","50% OFF up to 100","44 min","https://www.zomato.com/mumbai/powai-restaurants","https://www.zomato.com/mumbai/powai-restaurants","Chinese, Asian, Thai, Sichuan, Seafood, Desserts","₹300 for one","600+ orders placed from here recently","China Gate","4.0","Restaurant partner follows WHO protocol","600+ orders placed from here recently","https://www.zomato.com/mumbai/powai-restaurants","50% OFF up to 100","","","","","","","https://www.zomato.com/mumbai/dimsum-w-powai/order","https://www.zomato.com/mumbai/moussestruck-powai/order","https://www.zomato.com/mumbai/china-gate-mahakali/order",""
"star-fill","star-fill","star-fill","Pro extra 10% OFF","50% OFF up to 100","","https://www.zomato.com/mumbai/powai-restaurants","https://www.zomato.com/mumbai/powai-restaurants","","26 min","https://www.zomato.com/mumbai/powai-restaurants","Burger, Fast Food","","₹300 for one","","700+ orders placed from here recently","","Restaurant partner follows WHO protocol","https://www.zomato.com/mumbai/powai-restaurants","700+ orders placed from here recently","https://www.zomato.com/mumbai/powai-restaurants","61 min","https://www.zomato.com/mumbai/powai-restaurants","North Indian, Fast Food, Biryani, Chinese, Ice Cream, Desserts, Juices, Beverages","https://www.zomato.com/mumbai/powai-restaurants","₹300 for one","https://www.zomato.com/mumbai/powai-restaurants","500+ orders placed from here recently","B Burger - Bigger Burgers","3.7","Shreedevi","4.2","50% OFF up to 100","41 min","https://www.zomato.com/mumbai/powai-restaurants","https://www.zomato.com/mumbai/powai-restaurants","South Indian, North Indian, Chinese, Fast Food, Sandwich, Desserts, Shake, Beverages","₹300 for one","1250+ orders placed from here recently","Shubham Greens","4.0","Follows all Max Safety measures to ensure your food is safe","1250+ orders placed from here recently","https://www.zomato.com/mumbai/powai-restaurants","50% OFF up to 100","https://www.zomato.com/mumbai/powai-restaurants","","","","https://www.zomato.com/mumbai/powai-restaurants","https://www.zomato.com/mumbai/powai-restaurants","https://www.zomato.com/mumbai/b-burger-bigger-burgers-powai/order","https://www.zomato.com/mumbai/shreedevi-vile-parle-west/order","https://www.zomato.com/mumbai/shubham-greens-marol/order",""
"star-fill","star-fill","star-fill","","50% OFF up to 100","","https://www.zomato.com/mumbai/powai-restaurants","https://www.zomato.com/mumbai/powai-restaurants","https://www.zomato.com/mumbai/powai-restaurants","57 min","https://www.zomato.com/mumbai/powai-restaurants","Mithai, Desserts, South Indian, Fast Food, Street Food","https://www.zomato.com/mumbai/powai-restaurants","₹300 for one","https://www.zomato.com/mumbai/powai-restaurants","3575+ orders placed from here recently","https://www.zomato.com/mumbai/powai-restaurants","Follows all Max Safety measures to ensure your food is safe","https://www.zomato.com/mumbai/powai-restaurants","3575+ orders placed from here recently","https://www.zomato.com/mumbai/powai-restaurants","58 min","https://www.zomato.com/mumbai/powai-restaurants","South Indian, Street Food, North Indian, Chinese, Fast Food, Beverages, Shake, Sichuan","https://www.zomato.com/mumbai/powai-restaurants","₹300 for one","https://www.zomato.com/mumbai/powai-restaurants","850+ orders placed from here recently","Shree Gangour Sweets","4.0","Sarovar","4.2","50% OFF up to 100","31 min","https://www.zomato.com/mumbai/powai-restaurants","https://www.zomato.com/mumbai/powai-restaurants","Burger, Fast Food, American, Finger Food, Desserts, Beverages, Continental","₹300 for one","275+ orders placed from here recently","Boss Burger","3.8","Follows all Max Safety measures to ensure your food is safe","275+ orders placed from here recently","https://www.zomato.com/mumbai/powai-restaurants","50% OFF up to 100","https://www.zomato.com/mumbai/powai-restaurants","Follows all Max Safety measures to ensure your food is safe","https://www.zomato.com/mumbai/powai-restaurants","850+ orders placed from here recently","https://www.zomato.com/mumbai/powai-restaurants","https://www.zomato.com/mumbai/powai-restaurants","https://www.zomato.com/mumbai/shree-gangour-sweets-juhu/order","https://www.zomato.com/mumbai/sarovar-near-andheri-east-station/order","https://www.zomato.com/mumbai/boss-burger-powai/order",""
"","star-fill","star-fill","Pro extra 15% OFF","50% OFF up to 100","star-fill","https://www.zomato.com/mumbai/powai-restaurants","https://www.zomato.com/mumbai/powai-restaurants","","41 min","https://www.zomato.com/mumbai/powai-restaurants","North Indian, Odia, Street Food","","₹300 for one","","900+ orders placed from here recently","","Restaurant partner follows WHO protocol","https://www.zomato.com/mumbai/powai-restaurants","900+ orders placed from here recently","https://www.zomato.com/mumbai/powai-restaurants","63 min","https://www.zomato.com/mumbai/powai-restaurants","Healthy Food, Continental, Asian, Fast Food, Beverages, Salad, Italian, Desserts","https://www.zomato.com/mumbai/powai-restaurants","₹300 for one","https://www.zomato.com/mumbai/powai-restaurants","750+ orders placed from here recently","Foody Naka","","Aharveda - Vegan & Beyond","4.3","50% OFF up to 100","27 min","https://www.zomato.com/mumbai/powai-restaurants","https://www.zomato.com/mumbai/powai-restaurants","Bakery, Desserts, Ice Cream","₹300 for one","75+ orders placed from here recently","Gourmet Ice Cream Cakes by Baskin Robbins","3.4","Follows all Max Safety measures to ensure your food is safe","75+ orders placed from here recently","https://www.zomato.com/mumbai/powai-restaurants","50% OFF up to 100","https://www.zomato.com/mumbai/powai-restaurants","","","","https://www.zomato.com/mumbai/powai-restaurants","https://www.zomato.com/mumbai/powai-restaurants","https://www.zomato.com/mumbai/foody-naka-sakinaka/order","https://www.zomato.com/mumbai/aharveda-vegan-beyond-near-andheri-west-station/order","https://www.zomato.com/mumbai/gourmet-ice-cream-cakes-by-baskin-robbins-1-powai/order","3.5"
"star-fill","star-fill","star-fill","","50% OFF up to 100","","https://www.zomato.com/mumbai/powai-restaurants","https://www.zomato.com/mumbai/powai-restaurants","","60 min","","Chinese, Sichuan","","₹300 for one","","1350+ orders placed from here recently","","","https://www.zomato.com/mumbai/powai-restaurants","","https://www.zomato.com/mumbai/powai-restaurants","54 min","https://www.zomato.com/mumbai/powai-restaurants","Fast Food, Momos, South Indian, Chinese, Desserts, Beverages","https://www.zomato.com/mumbai/powai-restaurants","₹300 for one","https://www.zomato.com/mumbai/powai-restaurants","1325+ orders placed from here recently","Snackie Chan","3.7","Amar Veg Restaurant","4.2","50% OFF up to 100","56 min","https://www.zomato.com/mumbai/powai-restaurants","https://www.zomato.com/mumbai/powai-restaurants","Pizza, Sandwich, Fast Food","₹300 for one","475+ orders placed from here recently","Smokin' Joe's","3.8","Follows all Max Safety measures to ensure your food is safe","475+ orders placed from here recently","https://www.zomato.com/mumbai/powai-restaurants","50% OFF up to 100","","","","","","","https://www.zomato.com/mumbai/snackie-chan-juhu/order","https://www.zomato.com/mumbai/amar-veg-restaurant-near-andheri-west-station/order","https://www.zomato.com/mumbai/smokin-joes-vile-parle-east/order",""
"star-fill","star-fill","star-fill","","50% OFF up to 100","","https://www.zomato.com/mumbai/powai-restaurants","https://www.zomato.com/mumbai/powai-restaurants","","50 min","https://www.zomato.com/mumbai/powai-restaurants","Desserts, Ice Cream, Beverages, Fast Food, Pizza, Burger, Mexican, Shake","","₹300 for one","","825+ orders placed from here recently","","Restaurant partner follows WHO protocol","https://www.zomato.com/mumbai/powai-restaurants","825+ orders placed from here recently","https://www.zomato.com/mumbai/powai-restaurants","29 min","https://www.zomato.com/mumbai/powai-restaurants","South Indian, Desserts","https://www.zomato.com/mumbai/powai-restaurants","₹300 for one","","950+ orders placed from here recently","Cremeborne - Ice Creams and Desserts","3.8","Chennai Express- The Food Wagon","3.7","50% OFF up to 100","36 min","","","North Indian, Mughlai, Chinese, Seafood, Sichuan, Fast Food, Desserts, Beverages","₹300 for one","650+ orders placed from here recently","Supreme Restaurant","3.9","","","","50% OFF up to 100","https://www.zomato.com/mumbai/powai-restaurants","","","","https://www.zomato.com/mumbai/powai-restaurants","https://www.zomato.com/mumbai/powai-restaurants","https://www.zomato.com/mumbai/cremeborne-ice-creams-and-desserts-ghatkopar-east/order","https://www.zomato.com/mumbai/chennai-express-the-food-wagon-vikhroli/order","https://www.zomato.com/mumbai/supreme-restaurant-sakinaka/order",""
"star-fill","star-fill","star-fill","","50% OFF up to 100","","https://www.zomato.com/mumbai/powai-restaurants","https://www.zomato.com/mumbai/powai-restaurants","","47 min","","Ice Cream, Desserts","","₹300 for one","","875+ orders placed from here recently","","","https://www.zomato.com/mumbai/powai-restaurants","","https://www.zomato.com/mumbai/powai-restaurants","33 min","https://www.zomato.com/mumbai/powai-restaurants","Healthy Food, Beverages, Mediterranean, Burger, Desserts, Wraps, Pizza, Salad","https://www.zomato.com/mumbai/powai-restaurants","₹300 for one","https://www.zomato.com/mumbai/powai-restaurants","550+ orders placed from here recently","Vadilal Ice Cream","3.9","HRX by EatFit","4.1","50% OFF up to 100","43 min","https://www.zomato.com/mumbai/powai-restaurants","https://www.zomato.com/mumbai/powai-restaurants","Waffle, Desserts, Pancake, Beverages, Shake","₹300 for one","100+ orders placed from here recently","Wack Waffles & Brownies","3.2","Follows all Max Safety measures to ensure your food is safe","100+ orders placed from here recently","https://www.zomato.com/mumbai/powai-restaurants","50% OFF up to 100","","","","","","","https://www.zomato.com/mumbai/vadilal-ice-cream-vile-parle-east/order","https://www.zomato.com/mumbai/hrx-by-eatfit-marol/order","https://www.zomato.com/mumbai/wack-waffles-brownies-marol/order",""
"star-fill","star-fill","star-fill","","50% OFF up to 100","","https://www.zomato.com/mumbai/powai-restaurants","https://www.zomato.com/mumbai/powai-restaurants","https://www.zomato.com/mumbai/powai-restaurants","52 min","https://www.zomato.com/mumbai/powai-restaurants","Mughlai, Biryani","https://www.zomato.com/mumbai/powai-restaurants","₹300 for one","https://www.zomato.com/mumbai/powai-restaurants","175+ orders placed from here recently","https://www.zomato.com/mumbai/powai-restaurants","Follows all Max Safety measures to ensure your food is safe","https://www.zomato.com/mumbai/powai-restaurants","175+ orders placed from here recently","https://www.zomato.com/mumbai/powai-restaurants","19 min","https://www.zomato.com/mumbai/powai-restaurants","Ice Cream, Desserts","https://www.zomato.com/mumbai/powai-restaurants","₹300 for one","https://www.zomato.com/mumbai/powai-restaurants","500+ orders placed from here recently","Janta Caterers","3.6","Keventers Ice Cream","4.2","50% OFF up to 100","64 min","https://www.zomato.com/mumbai/powai-restaurants","https://www.zomato.com/mumbai/powai-restaurants","Chinese, Continental, Italian, North Indian, Mughlai, Fast Food, Beverages","₹300 for one","1400+ orders placed from here recently","Shabri Restaurant And Bar","4.2","Follows all Max Safety measures to ensure your food is safe","1400+ orders placed from here recently","https://www.zomato.com/mumbai/powai-restaurants","50% OFF up to 100","","","","","","","https://www.zomato.com/mumbai/janta-caterers-veera-desai-area/order","https://www.zomato.com/mumbai/keventers-ice-cream-chandivali/order","https://www.zomato.com/mumbai/shabri-restaurant-and-bar-vile-parle-east/order",""
"star-fill","star-fill","star-fill","","50% OFF up to 100","","https://www.zomato.com/mumbai/powai-restaurants","https://www.zomato.com/mumbai/powai-restaurants","https://www.zomato.com/mumbai/powai-restaurants","89 min","https://www.zomato.com/mumbai/powai-restaurants","Gujarati","https://www.zomato.com/mumbai/powai-restaurants","₹150 for one","https://www.zomato.com/mumbai/powai-restaurants","200+ orders placed from here recently","https://www.zomato.com/mumbai/powai-restaurants","Follows all Max Safety measures to ensure your food is safe","https://www.zomato.com/mumbai/powai-restaurants","200+ orders placed from here recently","https://www.zomato.com/mumbai/powai-restaurants","36 min","https://www.zomato.com/mumbai/powai-restaurants","Chinese, North Indian, Mughlai, Shake, Beverages","https://www.zomato.com/mumbai/powai-restaurants","₹150 for one","https://www.zomato.com/mumbai/powai-restaurants","2325+ orders placed from here recently","Nimantran Gujarati Thali Restaurant","3.8","Mantra Dining Bar","4.1","50% OFF up to 100","49 min","https://www.zomato.com/mumbai/powai-restaurants","https://www.zomato.com/mumbai/powai-restaurants","Chinese, North Indian, Kebab, Mughlai, Seafood, Biryani, Sandwich, Pizza","₹150 for one","1300+ orders placed from here recently","New Skyway","3.9","Follows all Max Safety measures to ensure your food is safe","1300+ orders placed from here recently","https://www.zomato.com/mumbai/powai-restaurants","50% OFF up to 100","https://www.zomato.com/mumbai/powai-restaurants","Restaurant partner follows WHO protocol","https://www.zomato.com/mumbai/powai-restaurants","2325+ orders placed from here recently","https://www.zomato.com/mumbai/powai-restaurants","https://www.zomato.com/mumbai/powai-restaurants","https://www.zomato.com/mumbai/nimantran-gujarati-thali-restaurant-vile-parle-east/order","https://www.zomato.com/mumbai/mantra-dining-bar-powai/order","https://www.zomato.com/mumbai/new-skyway-jogeshwari/order",""
"star-fill","star-fill","star-fill","","50% OFF up to 100","","https://www.zomato.com/mumbai/powai-restaurants","https://www.zomato.com/mumbai/powai-restaurants","https://www.zomato.com/mumbai/powai-restaurants","45 min","https://www.zomato.com/mumbai/powai-restaurants","Momos, Fast Food, Street Food, Beverages","https://www.zomato.com/mumbai/powai-restaurants","₹150 for one","https://www.zomato.com/mumbai/powai-restaurants","2475+ orders placed from here recently","https://www.zomato.com/mumbai/powai-restaurants","Follows all Max Safety measures to ensure your food is safe","https://www.zomato.com/mumbai/powai-restaurants","2475+ orders placed from here recently","https://www.zomato.com/mumbai/powai-restaurants","51 min","https://www.zomato.com/mumbai/powai-restaurants","Biryani, Maharashtrian, North Indian","https://www.zomato.com/mumbai/powai-restaurants","₹150 for one","","300+ orders placed from here recently","Mad Momos","3.8","Gaongajali","3.6","50% OFF up to 100","63 min","","","North Indian, Biryani, Chinese, Asian, Kebab, Italian, Sichuan","₹150 for one","1550+ orders placed from here recently","The Bar Stock Exchange","3.9","","","","50% OFF up to 100","","","","","","","https://www.zomato.com/mumbai/mad-momos-mahakali/order","https://www.zomato.com/mumbai/gaongajali-marol/order","https://www.zomato.com/mumbai/the-bar-stock-exchange-vile-parle-west/order",""
"star-fill","star-fill","star-fill","","50% OFF up to 100","","https://www.zomato.com/mumbai/powai-restaurants","https://www.zomato.com/mumbai/powai-restaurants","","22 min","https://www.zomato.com/mumbai/powai-restaurants","Street Food, Fast Food, Mithai, Desserts","","₹150 for one","","1025+ orders placed from here recently","","Restaurant partner follows WHO protocol","https://www.zomato.com/mumbai/powai-restaurants","1025+ orders placed from here recently","","33 min","https://www.zomato.com/mumbai/powai-restaurants","50% OFF up to 100","https://www.zomato.com/mumbai/powai-restaurants","Rolls, Wraps","","","Trupti Farsan","3.9","Signature Wraps & Rolls By Faasos","3.7","60% OFF","51 min","","","Ice Cream, Desserts","₹150 for one","150+ orders placed from here recently","Grameen Kulfi","4.0","","","","₹150 for one","https://www.zomato.com/mumbai/powai-restaurants","","","","https://www.zomato.com/mumbai/powai-restaurants","https://www.zomato.com/mumbai/powai-restaurants","https://www.zomato.com/mumbai/trupti-farsan-powai/order","https://www.zomato.com/mumbai/signature-wraps-rolls-by-faasos-marol/order","https://www.zomato.com/mumbai/grameen-kulfi-vile-parle-west/order",""
"star-fill","star-fill","star-fill","Pro extra 15% OFF","50% OFF up to 100","","https://www.zomato.com/mumbai/powai-restaurants","https://www.zomato.com/mumbai/powai-restaurants","https://www.zomato.com/mumbai/powai-restaurants","42 min","https://www.zomato.com/mumbai/powai-restaurants","Italian, Mexican","https://www.zomato.com/mumbai/powai-restaurants","₹150 for one","https://www.zomato.com/mumbai/powai-restaurants","50+ orders placed from here recently","https://www.zomato.com/mumbai/powai-restaurants","Follows all Max Safety measures to ensure your food is safe","https://www.zomato.com/mumbai/powai-restaurants","50+ orders placed from here recently","https://www.zomato.com/mumbai/powai-restaurants","34 min","https://www.zomato.com/mumbai/powai-restaurants","Pasta, Asian, Salad, Fast Food, Thai, Chinese, Healthy Food, Beverages","https://www.zomato.com/mumbai/powai-restaurants","₹150 for one","https://www.zomato.com/mumbai/powai-restaurants","550+ orders placed from here recently","Firangi Bake","3.7","Greenz","4.1","50% OFF up to 100","55 min","https://www.zomato.com/mumbai/powai-restaurants","https://www.zomato.com/mumbai/powai-restaurants","Fast Food, South Indian, Beverages, Sichuan, Juices","₹150 for one","975+ orders placed from here recently","Aditi Juice Centre","4.0","Follows all Max Safety measures to ensure your food is safe","975+ orders placed from here recently","https://www.zomato.com/mumbai/powai-restaurants","50% OFF up to 100","https://www.zomato.com/mumbai/powai-restaurants","Follows all Max Safety measures to ensure your food is safe","https://www.zomato.com/mumbai/powai-restaurants","550+ orders placed from here recently","https://www.zomato.com/mumbai/powai-restaurants","https://www.zomato.com/mumbai/powai-restaurants","https://www.zomato.com/mumbai/firangi-bake-marol/order","https://www.zomato.com/mumbai/greenz-powai/order","https://www.zomato.com/mumbai/aditi-juice-centre-near-andheri-west-station/order",""
"star-fill","star-fill","star-fill","","50% OFF up to 100","","https://www.zomato.com/mumbai/powai-restaurants","https://www.zomato.com/mumbai/powai-restaurants","https://www.zomato.com/mumbai/powai-restaurants","64 min","https://www.zomato.com/mumbai/powai-restaurants","Chinese, North Indian, Kebab, Mughlai, Biryani, Shake, Beverages","https://www.zomato.com/mumbai/powai-restaurants","₹250 for one","https://www.zomato.com/mumbai/powai-restaurants","950+ orders placed from here recently","https://www.zomato.com/mumbai/powai-restaurants","Follows all Max Safety measures to ensure your food is safe","https://www.zomato.com/mumbai/powai-restaurants","950+ orders placed from here recently","https://www.zomato.com/mumbai/powai-restaurants","39 min","https://www.zomato.com/mumbai/powai-restaurants","Mithai, Street Food, Sandwich, Fast Food","https://www.zomato.com/mumbai/powai-restaurants","₹250 for one","https://www.zomato.com/mumbai/powai-restaurants","3200+ orders placed from here recently","Hamza Tawa & Grill","3.8","Brijwasi Sweets","3.9","50% OFF up to 100","66 min","https://www.zomato.com/mumbai/powai-restaurants","https://www.zomato.com/mumbai/powai-restaurants","Momos","₹250 for one","1075+ orders placed from here recently","KGN Momos","3.7","Restaurant partner follows WHO protocol","1075+ orders placed from here recently","https://www.zomato.com/mumbai/powai-restaurants","50% OFF up to 100","https://www.zomato.com/mumbai/powai-restaurants","Follows all Max Safety measures to ensure your food is safe","https://www.zomato.com/mumbai/powai-restaurants","3200+ orders placed from here recently","https://www.zomato.com/mumbai/powai-restaurants","https://www.zomato.com/mumbai/powai-restaurants","https://www.zomato.com/mumbai/hamza-tawa-grill-jogeshwari/order","https://www.zomato.com/mumbai/brijwasi-sweets-3-chakala/order","https://www.zomato.com/mumbai/kgn-momos-vile-parle-west/order",""
"star-fill","star-fill","star-fill","Pro extra 10% OFF","50% OFF up to 100","","https://www.zomato.com/mumbai/powai-restaurants","https://www.zomato.com/mumbai/powai-restaurants","https://www.zomato.com/mumbai/powai-restaurants","58 min","https://www.zomato.com/mumbai/powai-restaurants","Burger, Fast Food, Pizza, Beverages","https://www.zomato.com/mumbai/powai-restaurants","₹250 for one","https://www.zomato.com/mumbai/powai-restaurants","675+ orders placed from here recently","https://www.zomato.com/mumbai/powai-restaurants","Restaurant partner follows WHO protocol","https://www.zomato.com/mumbai/powai-restaurants","675+ orders placed from here recently","https://www.zomato.com/mumbai/powai-restaurants","41 min","https://www.zomato.com/mumbai/powai-restaurants","Burger, Fast Food","https://www.zomato.com/mumbai/powai-restaurants","₹250 for one","","975+ orders placed from here recently","Winglicious","3.8","Nino Burgers","4.0","50% OFF up to 100","28 min","","","Salad, Healthy Food","₹250 for one","1525+ orders placed from here recently","Living Bowls","3.6","","","","50% OFF up to 100","https://www.zomato.com/mumbai/powai-restaurants","Follows all Max Safety measures to ensure your food is safe","https://www.zomato.com/mumbai/powai-restaurants","975+ orders placed from here recently","https://www.zomato.com/mumbai/powai-restaurants","https://www.zomato.com/mumbai/powai-restaurants","https://www.zomato.com/mumbai/winglicious-jogeshwari/order","https://www.zomato.com/mumbai/nino-burgers-marol/order","https://www.zomato.com/mumbai/living-bowls-marol/order",""
"star-fill","","star-fill","Pro extra 15% OFF","50% OFF up to 100","star-fill","https://www.zomato.com/mumbai/powai-restaurants","https://www.zomato.com/mumbai/powai-restaurants","https://www.zomato.com/mumbai/powai-restaurants","62 min","https://www.zomato.com/mumbai/powai-restaurants","North Indian, South Indian, Chinese, Fast Food, Italian, Street Food, Desserts, Beverages","https://www.zomato.com/mumbai/powai-restaurants","₹250 for one","https://www.zomato.com/mumbai/powai-restaurants","775+ orders placed from here recently","https://www.zomato.com/mumbai/powai-restaurants","Follows all Max Safety measures to ensure your food is safe","https://www.zomato.com/mumbai/powai-restaurants","775+ orders placed from here recently","https://www.zomato.com/mumbai/powai-restaurants","46 min","https://www.zomato.com/mumbai/powai-restaurants","Biryani, North Indian, Desserts, Shake, Beverages","","₹250 for one","","425+ orders placed from here recently","Aditi Fast Food","3.9","Sanskari Biryani","","50% OFF up to 100","58 min","","","Ice Cream, Desserts, Fast Food, Beverages","₹250 for one","","Amul Ice Cream Parlour","3.9","","","","50% OFF up to 100","https://www.zomato.com/mumbai/powai-restaurants","Follows all Max Safety measures to ensure your food is safe","https://www.zomato.com/mumbai/powai-restaurants","425+ orders placed from here recently","https://www.zomato.com/mumbai/powai-restaurants","https://www.zomato.com/mumbai/powai-restaurants","https://www.zomato.com/mumbai/aditi-fast-food-vile-parle-east/order","https://www.zomato.com/mumbai/sanskari-biryani-marol/order","https://www.zomato.com/mumbai/amul-ice-cream-parlour-1-vile-parle-east/order","3.3"
