"sc-rbbb40-0","sc-rbbb40-0 2","sc-rbbb40-0 3","sc-1hez2tp-0","sc-1hez2tp-0 2","sc-s1isp7-5 src","sc-s1isp7-5 src 2","sc-s1isp7-5 src 3","sc-1hez2tp-0 3","sc-s1isp7-5 src 4","sc-1hez2tp-0 4","sc-s1isp7-5 src 5","sc-1hez2tp-0 5","sc-s1isp7-5 src 6","sc-1hez2tp-0 6","sc-s1isp7-5 src 7","sc-1hez2tp-0 7","sc-s1isp7-5 src 8","sc-1hez2tp-0 8","sc-s1isp7-5 src 9","sc-1hez2tp-0 9","sc-s1isp7-5 src 10","sc-1hez2tp-0 10","sc-s1isp7-5 src 11","sc-1hez2tp-0 11","sc-s1isp7-5 src 12","sc-1hp8d8a-0","sc-1q7bklc-1","sc-1hp8d8a-0 2","sc-1q7bklc-1 2","sc-1hez2tp-0 13","sc-1hez2tp-0 14","sc-s1isp7-5 src 13","sc-s1isp7-5 src 14","sc-s1isp7-5 src 15","sc-1hez2tp-0 15","sc-1hez2tp-0 16","sc-1hp8d8a-0 3","sc-1q7bklc-1 3","sc-1hez2tp-0 17","sc-1hez2tp-0 18","sc-s1isp7-5 src 16","sc-1hez2tp-0 19","sc-s1isp7-5 src 17","sc-1hez2tp-0 21","sc-s1isp7-5 src 18","sc-s1isp7-5 src 19","sc-s1isp7-5 src 20","sc-s1isp7-5 src 21","sc-jGFFOr href","sc-jGFFOr href 2","sc-jGFFOr href 3"
"star-fill","star-fill","star-fill","50% OFF up to 100","60 min","https://www.zomato.com/mumbai/fort-restaurants","https://www.zomato.com/mumbai/fort-restaurants","https://www.zomato.com/mumbai/fort-restaurants","Chinese, Asian, Momos, Sushi, Seafood, Thai, Beverages, Desserts","https://www.zomato.com/mumbai/fort-restaurants","₹200 for one","https://www.zomato.com/mumbai/fort-restaurants","1175+ orders placed from here recently","https://www.zomato.com/mumbai/fort-restaurants","50% OFF up to 100","https://www.zomato.com/mumbai/fort-restaurants","54 min","https://www.zomato.com/mumbai/fort-restaurants","Salad, Healthy Food","https://www.zomato.com/mumbai/fort-restaurants","₹200 for one","https://www.zomato.com/mumbai/fort-restaurants","1100+ orders placed from here recently","https://www.zomato.com/mumbai/fort-restaurants","Follows all Max Safety measures to ensure your food is safe","","Asia Kitchen By Mainland China","4.0","Happy8 Salads","4.2","","26 min","","","","Tea, Beverages, Street Food, Sandwich, Fast Food","₹200 for one","Tea Post","3.8","200+ orders placed from here recently","","","","","","","","","","https://www.zomato.com/mumbai/asia-kitchen-by-mainland-china-lower-parel/order","https://www.zomato.com/mumbai/happy8-salads-worli/order","https://www.zomato.com/mumbai/tea-post-fort/order"
"","star-fill","star-fill","50% OFF up to 100","25 min","https://www.zomato.com/mumbai/fort-restaurants","https://www.zomato.com/mumbai/fort-restaurants","https://www.zomato.com/mumbai/fort-restaurants","Bakery, Desserts, Healthy Food","https://www.zomato.com/mumbai/fort-restaurants","₹200 for one","https://www.zomato.com/mumbai/fort-restaurants","250+ orders placed from here recently","https://www.zomato.com/mumbai/fort-restaurants","50% OFF up to 100","https://www.zomato.com/mumbai/fort-restaurants","40 min","https://www.zomato.com/mumbai/fort-restaurants","Kebab, Mughlai, North Indian, Seafood, Chinese, Biryani, Sichuan","https://www.zomato.com/mumbai/fort-restaurants","₹200 for one","https://www.zomato.com/mumbai/fort-restaurants","250+ orders placed from here recently","https://www.zomato.com/mumbai/fort-restaurants","Follows all Max Safety measures to ensure your food is safe","https://www.zomato.com/mumbai/fort-restaurants","The Baker's Dozen","","Sahil Kitchen","4.3","50% OFF up to 100","45 min","https://www.zomato.com/mumbai/fort-restaurants","https://www.zomato.com/mumbai/fort-restaurants","https://www.zomato.com/mumbai/fort-restaurants","North Indian, Chinese, South Indian, Fast Food, Street Food, Desserts, Beverages, Shake","₹200 for one","Kanishka","4.2","1750+ orders placed from here recently","Restaurant partner follows WHO protocol","https://www.zomato.com/mumbai/fort-restaurants","1750+ orders placed from here recently","https://www.zomato.com/mumbai/fort-restaurants","250+ orders placed from here recently","https://www.zomato.com/mumbai/fort-restaurants","https://www.zomato.com/mumbai/fort-restaurants","https://www.zomato.com/mumbai/fort-restaurants","https://www.zomato.com/mumbai/fort-restaurants","https://www.zomato.com/mumbai/the-bakers-dozen-colaba/order","https://www.zomato.com/mumbai/sahil-kitchen-mohammad-ali-road/order","https://www.zomato.com/mumbai/kanishka-tardeo/order"
"star-fill","star-fill","star-fill","50% OFF up to 100","39 min","https://www.zomato.com/mumbai/fort-restaurants","https://www.zomato.com/mumbai/fort-restaurants","https://www.zomato.com/mumbai/fort-restaurants","Chinese, Shake, Continental","https://www.zomato.com/mumbai/fort-restaurants","₹200 for one","https://www.zomato.com/mumbai/fort-restaurants","1075+ orders placed from here recently","https://www.zomato.com/mumbai/fort-restaurants","50% OFF up to 100","https://www.zomato.com/mumbai/fort-restaurants","24 min","https://www.zomato.com/mumbai/fort-restaurants","Bakery, Desserts, Shake, Coffee, Beverages","https://www.zomato.com/mumbai/fort-restaurants","₹200 for one","https://www.zomato.com/mumbai/fort-restaurants","4375+ orders placed from here recently","https://www.zomato.com/mumbai/fort-restaurants","Follows all Max Safety measures to ensure your food is safe","https://www.zomato.com/mumbai/fort-restaurants","Casa Blanca","3.7","Sassy Teaspoon","4.3","50% OFF up to 100","39 min","https://www.zomato.com/mumbai/fort-restaurants","https://www.zomato.com/mumbai/fort-restaurants","https://www.zomato.com/mumbai/fort-restaurants","Chinese, Seafood, Cantonese, Asian, Thai","₹200 for one","Mr. Chow's","4.2","2375+ orders placed from here recently","Follows all Max Safety measures to ensure your food is safe","https://www.zomato.com/mumbai/fort-restaurants","2375+ orders placed from here recently","https://www.zomato.com/mumbai/fort-restaurants","1075+ orders placed from here recently","https://www.zomato.com/mumbai/fort-restaurants","https://www.zomato.com/mumbai/fort-restaurants","https://www.zomato.com/mumbai/fort-restaurants","https://www.zomato.com/mumbai/fort-restaurants","https://www.zomato.com/mumbai/casa-blanca-byculla/order","https://www.zomato.com/mumbai/sassy-teaspoon-nariman-point/order","https://www.zomato.com/mumbai/mr-chows-colaba/order"
"","star-fill","star-fill","50% OFF up to 100","50 min","https://www.zomato.com/mumbai/fort-restaurants","https://www.zomato.com/mumbai/fort-restaurants","https://www.zomato.com/mumbai/fort-restaurants","Chinese, North Indian, Mughlai, South Indian, Fast Food, Street Food, Desserts, Beverages","https://www.zomato.com/mumbai/fort-restaurants","₹250 for one","https://www.zomato.com/mumbai/fort-restaurants","125+ orders placed from here recently","https://www.zomato.com/mumbai/fort-restaurants","50% OFF up to 100","https://www.zomato.com/mumbai/fort-restaurants","54 min","https://www.zomato.com/mumbai/fort-restaurants","Chinese, Salad, Continental, Fast Food, Italian, Seafood, Asian, Pizza","https://www.zomato.com/mumbai/fort-restaurants","₹250 for one","https://www.zomato.com/mumbai/fort-restaurants","2250+ orders placed from here recently","https://www.zomato.com/mumbai/fort-restaurants","Follows all Max Safety measures to ensure your food is safe","https://www.zomato.com/mumbai/fort-restaurants","Apoorva Delicacies","","Pop Tate's","4.1","50% OFF up to 100","28 min","https://www.zomato.com/mumbai/fort-restaurants","https://www.zomato.com/mumbai/fort-restaurants","https://www.zomato.com/mumbai/fort-restaurants","Chinese, North Indian, Mughlai","₹250 for one","Cafe Zeenat","3.8","2850+ orders placed from here recently","Follows all Max Safety measures to ensure your food is safe","https://www.zomato.com/mumbai/fort-restaurants","2850+ orders placed from here recently","","","","","","","https://www.zomato.com/mumbai/apoorva-delicacies-dadar-shivaji-park/order","https://www.zomato.com/mumbai/pop-tates-2-lower-parel/order","https://www.zomato.com/mumbai/cafe-zeenat-mumbai-central/order"
"star-fill","star-fill","star-fill","50% OFF up to 100","48 min","https://www.zomato.com/mumbai/fort-restaurants","https://www.zomato.com/mumbai/fort-restaurants","https://www.zomato.com/mumbai/fort-restaurants","Sandwich, Pizza, Rolls, Fast Food, Street Food, Juices, Shake, Desserts","https://www.zomato.com/mumbai/fort-restaurants","₹250 for one","","7450+ orders placed from here recently","https://www.zomato.com/mumbai/fort-restaurants","50% OFF up to 100","","47 min","","Italian, Mexican, Mediterranean, Fast Food, Beverages, Desserts","","₹250 for one","https://www.zomato.com/mumbai/fort-restaurants","1475+ orders placed from here recently","https://www.zomato.com/mumbai/fort-restaurants","Restaurant partner follows WHO protocol","https://www.zomato.com/mumbai/fort-restaurants","Bachelorr's","3.8","Ovenfresh","4.1","50% OFF up to 100","33 min","https://www.zomato.com/mumbai/fort-restaurants","https://www.zomato.com/mumbai/fort-restaurants","https://www.zomato.com/mumbai/fort-restaurants","Middle Eastern, Lebanese, Healthy Food","₹250 for one","Falafel's","3.9","1975+ orders placed from here recently","Follows all Max Safety measures to ensure your food is safe","https://www.zomato.com/mumbai/fort-restaurants","1975+ orders placed from here recently","https://www.zomato.com/mumbai/fort-restaurants","","","https://www.zomato.com/mumbai/fort-restaurants","https://www.zomato.com/mumbai/fort-restaurants","https://www.zomato.com/mumbai/fort-restaurants","https://www.zomato.com/mumbai/bachelorrs-matunga-east/order","https://www.zomato.com/mumbai/ovenfresh-dadar-shivaji-park/order","https://www.zomato.com/mumbai/falafels-1-tardeo/order"
"star-fill","star-fill","star-fill","50% OFF up to 100","37 min","https://www.zomato.com/mumbai/fort-restaurants","https://www.zomato.com/mumbai/fort-restaurants","https://www.zomato.com/mumbai/fort-restaurants","Bakery, Desserts, Italian, North Indian, Shake, Beverages","https://www.zomato.com/mumbai/fort-restaurants","₹250 for one","https://www.zomato.com/mumbai/fort-restaurants","950+ orders placed from here recently","https://www.zomato.com/mumbai/fort-restaurants","50% OFF up to 100","https://www.zomato.com/mumbai/fort-restaurants","25 min","https://www.zomato.com/mumbai/fort-restaurants","Chinese, Sichuan","https://www.zomato.com/mumbai/fort-restaurants","₹250 for one","https://www.zomato.com/mumbai/fort-restaurants","1425+ orders placed from here recently","https://www.zomato.com/mumbai/fort-restaurants","Follows all Max Safety measures to ensure your food is safe","","Elementaria Bakery Cafe","4.0","China Box Co","3.9","50% OFF up to 100","34 min","","","","Bakery, Mithai, Desserts","₹250 for one","Mithiyaj","4.3","4650+ orders placed from here recently","","","","https://www.zomato.com/mumbai/fort-restaurants","950+ orders placed from here recently","https://www.zomato.com/mumbai/fort-restaurants","https://www.zomato.com/mumbai/fort-restaurants","https://www.zomato.com/mumbai/fort-restaurants","https://www.zomato.com/mumbai/fort-restaurants","https://www.zomato.com/mumbai/elementaria-bakery-cafe-lower-parel/order","https://www.zomato.com/mumbai/china-box-co-fort/order","https://www.zomato.com/mumbai/mithiyaj-byculla/order"
"star-fill","star-fill","star-fill","50% OFF up to 100","22 min","https://www.zomato.com/mumbai/fort-restaurants","https://www.zomato.com/mumbai/fort-restaurants","https://www.zomato.com/mumbai/fort-restaurants","Mithai, Ice Cream, Desserts, Paan, Beverages","https://www.zomato.com/mumbai/fort-restaurants","₹250 for one","https://www.zomato.com/mumbai/fort-restaurants","600+ orders placed from here recently","https://www.zomato.com/mumbai/fort-restaurants","50% OFF up to 100","https://www.zomato.com/mumbai/fort-restaurants","45 min","https://www.zomato.com/mumbai/fort-restaurants","Chinese, Fast Food, North Indian, South Indian, Sichuan, Desserts, Beverages, Street Food","https://www.zomato.com/mumbai/fort-restaurants","₹250 for one","https://www.zomato.com/mumbai/fort-restaurants","2675+ orders placed from here recently","https://www.zomato.com/mumbai/fort-restaurants","Follows all Max Safety measures to ensure your food is safe","https://www.zomato.com/mumbai/fort-restaurants","Parsi Dairy Farm","3.9","Shagun","4.4","50% OFF up to 100","40 min","https://www.zomato.com/mumbai/fort-restaurants","https://www.zomato.com/mumbai/fort-restaurants","https://www.zomato.com/mumbai/fort-restaurants","Rolls, North Indian","₹250 for one","The Roll Company - TRC","4.1","4425+ orders placed from here recently","Follows all Max Safety measures to ensure your food is safe","https://www.zomato.com/mumbai/fort-restaurants","4425+ orders placed from here recently","","","","","","","https://www.zomato.com/mumbai/parsi-dairy-farm-kalbadevi/order","https://www.zomato.com/mumbai/shagun-mumbai-central/order","https://www.zomato.com/mumbai/the-roll-company-trc-mahalaxmi/order"
"star-fill","star-fill","star-fill","50% OFF up to 100","38 min","https://www.zomato.com/mumbai/fort-restaurants","https://www.zomato.com/mumbai/fort-restaurants","https://www.zomato.com/mumbai/fort-restaurants","North Indian, Chinese, Seafood, Mughlai, Lebanese, Sichuan","https://www.zomato.com/mumbai/fort-restaurants","₹250 for one","","1050+ orders placed from here recently","https://www.zomato.com/mumbai/fort-restaurants","50% OFF up to 100","","30 min","","Ice Cream, Desserts","","₹250 for one","https://www.zomato.com/mumbai/fort-restaurants","825+ orders placed from here recently","https://www.zomato.com/mumbai/fort-restaurants","Restaurant partner follows WHO protocol","https://www.zomato.com/mumbai/fort-restaurants","Mumbai Darbar","3.8","Amore Gelato","4.4","50% OFF up to 100","60 min","https://www.zomato.com/mumbai/fort-restaurants","https://www.zomato.com/mumbai/fort-restaurants","https://www.zomato.com/mumbai/fort-restaurants","Chinese, Seafood, Sichuan","₹250 for one","China Valley","4.0","850+ orders placed from here recently","Restaurant partner follows WHO protocol","https://www.zomato.com/mumbai/fort-restaurants","850+ orders placed from here recently","https://www.zomato.com/mumbai/fort-restaurants","","","https://www.zomato.com/mumbai/fort-restaurants","https://www.zomato.com/mumbai/fort-restaurants","https://www.zomato.com/mumbai/fort-restaurants","https://www.zomato.com/mumbai/mumbai-darbar-lower-parel/order","https://www.zomato.com/mumbai/amore-gelato-tardeo/order","https://www.zomato.com/mumbai/china-valley-worli/order"
"star-fill","star-fill","star-fill","50% OFF up to 100","27 min","https://www.zomato.com/mumbai/fort-restaurants","https://www.zomato.com/mumbai/fort-restaurants","https://www.zomato.com/mumbai/fort-restaurants","Lebanese, North Indian, Rolls, Kebab","https://www.zomato.com/mumbai/fort-restaurants","₹250 for one","https://www.zomato.com/mumbai/fort-restaurants","450+ orders placed from here recently","https://www.zomato.com/mumbai/fort-restaurants","50% OFF up to 100","https://www.zomato.com/mumbai/fort-restaurants","52 min","https://www.zomato.com/mumbai/fort-restaurants","Waffle, Desserts, Shake, Beverages","https://www.zomato.com/mumbai/fort-restaurants","₹250 for one","https://www.zomato.com/mumbai/fort-restaurants","1900+ orders placed from here recently","https://www.zomato.com/mumbai/fort-restaurants","Follows all Max Safety measures to ensure your food is safe","","Marrakesh","3.8","Miami Waffles & Jawbreakers","3.6","50% OFF up to 100","23 min","","","","North Indian, Burger, Fast Food, Sichuan","₹250 for one","Canteen Central by EatFit","4.0","200+ orders placed from here recently","","","","","","","","","","https://www.zomato.com/mumbai/marrakesh-fort/order","https://www.zomato.com/mumbai/miami-waffles-jawbreakers-worli/order","https://www.zomato.com/mumbai/canteen-central-by-eatfit-fort/order"
"star-fill","star-fill","star-fill","50% OFF up to 100","44 min","https://www.zomato.com/mumbai/fort-restaurants","https://www.zomato.com/mumbai/fort-restaurants","https://www.zomato.com/mumbai/fort-restaurants","North Indian, Chinese, South Indian, Street Food, Fast Food, Desserts, Beverages","https://www.zomato.com/mumbai/fort-restaurants","₹250 for one","","75+ orders placed from here recently","https://www.zomato.com/mumbai/fort-restaurants","50% OFF up to 100","","23 min","","Healthy Food, Ice Cream, Desserts, Beverages","","₹250 for one","https://www.zomato.com/mumbai/fort-restaurants","1500+ orders placed from here recently","https://www.zomato.com/mumbai/fort-restaurants","Restaurant partner follows WHO protocol","","Status","3.9","GetAWay - Desserts","4.2","50% OFF up to 100","35 min","","","","Mithai, South Indian, Sandwich, Street Food","₹250 for one","Beles Ashok Dugdhalaya","4.3","1825+ orders placed from here recently","","","","https://www.zomato.com/mumbai/fort-restaurants","","","https://www.zomato.com/mumbai/fort-restaurants","https://www.zomato.com/mumbai/fort-restaurants","https://www.zomato.com/mumbai/fort-restaurants","https://www.zomato.com/mumbai/status-lower-parel/order","https://www.zomato.com/mumbai/getaway-desserts-girgaum/order","https://www.zomato.com/mumbai/beles-ashok-dugdhalaya-2-byculla/order"
"star-fill","star-fill","star-fill","50% OFF up to 100","31 min","https://www.zomato.com/mumbai/fort-restaurants","https://www.zomato.com/mumbai/fort-restaurants","https://www.zomato.com/mumbai/fort-restaurants","Chinese, North Indian, Mughlai, Sichuan","https://www.zomato.com/mumbai/fort-restaurants","₹250 for one","https://www.zomato.com/mumbai/fort-restaurants","75+ orders placed from here recently","https://www.zomato.com/mumbai/fort-restaurants","50% OFF up to 100","https://www.zomato.com/mumbai/fort-restaurants","23 min","https://www.zomato.com/mumbai/fort-restaurants","Ice Cream","https://www.zomato.com/mumbai/fort-restaurants","₹250 for one","https://www.zomato.com/mumbai/fort-restaurants","1425+ orders placed from here recently","https://www.zomato.com/mumbai/fort-restaurants","Follows all Max Safety measures to ensure your food is safe","","Pine Restaurant","4.0","Go Zero - Guilt Free Ice Creams","3.8","50% OFF up to 100","51 min","","","","Pizza","₹250 for one","Nomad - Vegetarian And Plant Based Pizza Series","4.3","150+ orders placed from here recently","","","","","","","","","","https://www.zomato.com/mumbai/pine-restaurant-mazgaon/order","https://www.zomato.com/mumbai/go-zero-guilt-free-ice-creams-colaba/order","https://www.zomato.com/mumbai/nomad-vegetarian-and-plant-based-pizza-series-chowpatty/order"
"star-fill","star-fill","star-fill","50% OFF up to 100","53 min","https://www.zomato.com/mumbai/fort-restaurants","https://www.zomato.com/mumbai/fort-restaurants","https://www.zomato.com/mumbai/fort-restaurants","Chinese, Seafood, Sichuan","https://www.zomato.com/mumbai/fort-restaurants","₹350 for one","https://www.zomato.com/mumbai/fort-restaurants","3100+ orders placed from here recently","https://www.zomato.com/mumbai/fort-restaurants","50% OFF up to 100","https://www.zomato.com/mumbai/fort-restaurants","41 min","https://www.zomato.com/mumbai/fort-restaurants","South Indian, Desserts, Beverages","https://www.zomato.com/mumbai/fort-restaurants","₹350 for one","https://www.zomato.com/mumbai/fort-restaurants","2375+ orders placed from here recently","https://www.zomato.com/mumbai/fort-restaurants","Follows all Max Safety measures to ensure your food is safe","https://www.zomato.com/mumbai/fort-restaurants","Lucky Dragon","4.4","Dakshinayan","4.1","50% OFF up to 100","38 min","https://www.zomato.com/mumbai/fort-restaurants","https://www.zomato.com/mumbai/fort-restaurants","https://www.zomato.com/mumbai/fort-restaurants","North Indian, Chinese, Street Food, South Indian, Beverages, Sichuan","₹350 for one","Shri Annapurna Punjabi Dine","4.0","700+ orders placed from here recently","Follows all Max Safety measures to ensure your food is safe","https://www.zomato.com/mumbai/fort-restaurants","700+ orders placed from here recently","https://www.zomato.com/mumbai/fort-restaurants","3100+ orders placed from here recently","https://www.zomato.com/mumbai/fort-restaurants","https://www.zomato.com/mumbai/fort-restaurants","https://www.zomato.com/mumbai/fort-restaurants","https://www.zomato.com/mumbai/fort-restaurants","https://www.zomato.com/mumbai/lucky-dragon-mahim/order","https://www.zomato.com/mumbai/dakshinayan-malabar-hill/order","https://www.zomato.com/mumbai/shri-annapurna-punjabi-dine-girgaum/order"
"star-fill","star-fill","star-fill","50% OFF up to 100","31 min","https://www.zomato.com/mumbai/fort-restaurants","https://www.zomato.com/mumbai/fort-restaurants","https://www.zomato.com/mumbai/fort-restaurants","Chinese, North Indian, Mughlai, Maharashtrian, Seafood, Street Food, Biryani, Beverages","https://www.zomato.com/mumbai/fort-restaurants","₹350 for one","https://www.zomato.com/mumbai/fort-restaurants","1150+ orders placed from here recently","https://www.zomato.com/mumbai/fort-restaurants","50% OFF up to 100","https://www.zomato.com/mumbai/fort-restaurants","23 min","https://www.zomato.com/mumbai/fort-restaurants","South Indian, North Indian, Chinese, Fast Food, Beverages, Sichuan","https://www.zomato.com/mumbai/fort-restaurants","₹350 for one","https://www.zomato.com/mumbai/fort-restaurants","700+ orders placed from here recently","https://www.zomato.com/mumbai/fort-restaurants","Restaurant partner follows WHO protocol","","Voice Of India Restaurant","3.9","Madras Cafe","4.1","50% OFF up to 100","46 min","","","","Chinese, Biryani, Sichuan","₹350 for one","Byculla Chinese Corner","3.7","475+ orders placed from here recently","","","","https://www.zomato.com/mumbai/fort-restaurants","1150+ orders placed from here recently","https://www.zomato.com/mumbai/fort-restaurants","https://www.zomato.com/mumbai/fort-restaurants","https://www.zomato.com/mumbai/fort-restaurants","https://www.zomato.com/mumbai/fort-restaurants","https://www.zomato.com/mumbai/voice-of-india-restaurant-girgaum/order","https://www.zomato.com/mumbai/madras-cafe-colaba/order","https://www.zomato.com/mumbai/byculla-chinese-corner-byculla/order"
"star-fill","star-fill","star-fill","50% OFF up to 100","46 min","https://www.zomato.com/mumbai/fort-restaurants","https://www.zomato.com/mumbai/fort-restaurants","https://www.zomato.com/mumbai/fort-restaurants","North Indian, Chinese, South Indian, Street Food, Beverages, Fast Food, Mexican, Italian","https://www.zomato.com/mumbai/fort-restaurants","₹350 for one","https://www.zomato.com/mumbai/fort-restaurants","2575+ orders placed from here recently","https://www.zomato.com/mumbai/fort-restaurants","50% OFF up to 100","https://www.zomato.com/mumbai/fort-restaurants","36 min","https://www.zomato.com/mumbai/fort-restaurants","Mithai, Street Food, Beverages","https://www.zomato.com/mumbai/fort-restaurants","₹350 for one","https://www.zomato.com/mumbai/fort-restaurants","3875+ orders placed from here recently","https://www.zomato.com/mumbai/fort-restaurants","Follows all Max Safety measures to ensure your food is safe","","Classic Fast Food","4.5","Bombay Sweet Shop","4.1","50% OFF up to 100","37 min","","","","North Indian, South Indian, Sandwich, Chinese, Pizza, Oriental, Beverages, Desserts","₹350 for one","Govinda's","4.2","1550+ orders placed from here recently","","","","https://www.zomato.com/mumbai/fort-restaurants","2575+ orders placed from here recently","https://www.zomato.com/mumbai/fort-restaurants","https://www.zomato.com/mumbai/fort-restaurants","https://www.zomato.com/mumbai/fort-restaurants","https://www.zomato.com/mumbai/fort-restaurants","https://www.zomato.com/mumbai/classic-fast-food-matunga-east/order","https://www.zomato.com/mumbai/bombay-sweet-shop-byculla/order","https://www.zomato.com/mumbai/govindas-chowpatty/order"
"star-fill","star-fill","star-fill","50% OFF up to 100","50 min","https://www.zomato.com/mumbai/fort-restaurants","https://www.zomato.com/mumbai/fort-restaurants","https://www.zomato.com/mumbai/fort-restaurants","North Indian, Chinese, Mughlai, Kebab, Biryani, Fast Food, Desserts, Beverages","https://www.zomato.com/mumbai/fort-restaurants","₹350 for one","https://www.zomato.com/mumbai/fort-restaurants","300+ orders placed from here recently","https://www.zomato.com/mumbai/fort-restaurants","50% OFF up to 100","https://www.zomato.com/mumbai/fort-restaurants","36 min","https://www.zomato.com/mumbai/fort-restaurants","Sandwich, Fast Food, Rolls","https://www.zomato.com/mumbai/fort-restaurants","₹350 for one","https://www.zomato.com/mumbai/fort-restaurants","1550+ orders placed from here recently","https://www.zomato.com/mumbai/fort-restaurants","Follows all Max Safety measures to ensure your food is safe","","Utsav- The Barbeque Restaurant","3.6","Instawich - Desi Sandwiches","3.7","50% OFF up to 100","26 min","","","","Mithai, Street Food","₹350 for one","Chitale Xpress","4.7","250+ orders placed from here recently","","","","","","","","","","https://www.zomato.com/mumbai/utsav-the-barbeque-restaurant-lower-parel/order","https://www.zomato.com/mumbai/instawich-desi-sandwiches-tardeo/order","https://www.zomato.com/mumbai/chitale-xpress-girgaum/order"
"star-fill","star-fill","star-fill","50% OFF up to 100","50 min","https://www.zomato.com/mumbai/fort-restaurants","https://www.zomato.com/mumbai/fort-restaurants","https://www.zomato.com/mumbai/fort-restaurants","Fast Food, Chinese, South Indian, North Indian, Street Food, Beverages, Desserts, Shake","https://www.zomato.com/mumbai/fort-restaurants","₹200 for one","","2275+ orders placed from here recently","https://www.zomato.com/mumbai/fort-restaurants","50% OFF up to 100","","25 min","","North Indian, Chinese, Hyderabadi, Biryani","","₹200 for one","https://www.zomato.com/mumbai/fort-restaurants","675+ orders placed from here recently","https://www.zomato.com/mumbai/fort-restaurants","Restaurant partner follows WHO protocol","https://www.zomato.com/mumbai/fort-restaurants","Radhe Shyam","3.8","Nizam's - Authentic Hyderabadi Cuisine","4.2","50% OFF up to 100","31 min","https://www.zomato.com/mumbai/fort-restaurants","https://www.zomato.com/mumbai/fort-restaurants","https://www.zomato.com/mumbai/fort-restaurants","North Indian, Chinese, South Indian, Fast Food, Street Food, Desserts, Beverages","₹200 for one","Surti","4.4","800+ orders placed from here recently","Restaurant partner follows WHO protocol","https://www.zomato.com/mumbai/fort-restaurants","800+ orders placed from here recently","https://www.zomato.com/mumbai/fort-restaurants","","","https://www.zomato.com/mumbai/fort-restaurants","https://www.zomato.com/mumbai/fort-restaurants","https://www.zomato.com/mumbai/fort-restaurants","https://www.zomato.com/mumbai/radhe-shyam-lower-parel/order","https://www.zomato.com/mumbai/nizams-authentic-hyderabadi-cuisine-mumbai-central/order","https://www.zomato.com/mumbai/surti-kalbadevi/order"
"star-fill","","star-fill","50% OFF up to 100","43 min","https://www.zomato.com/mumbai/fort-restaurants","https://www.zomato.com/mumbai/fort-restaurants","https://www.zomato.com/mumbai/fort-restaurants","Chinese, North Indian, South Indian, Fast Food, Sichuan","https://www.zomato.com/mumbai/fort-restaurants","₹200 for one","https://www.zomato.com/mumbai/fort-restaurants","1700+ orders placed from here recently","https://www.zomato.com/mumbai/fort-restaurants","50% OFF up to 100","https://www.zomato.com/mumbai/fort-restaurants","37 min","https://www.zomato.com/mumbai/fort-restaurants","Pizza, Pasta, Burger, Sandwich, Wraps, Fast Food, Beverages","https://www.zomato.com/mumbai/fort-restaurants","₹200 for one","https://www.zomato.com/mumbai/fort-restaurants","350+ orders placed from here recently","https://www.zomato.com/mumbai/fort-restaurants","Restaurant partner follows WHO protocol","","Light Of Persia","3.7","Onomato Pizza","","50% OFF up to 100","38 min","","","","Chinese, Sichuan","₹200 for one","The Chinese Point","4.1","350+ orders placed from here recently","","","","https://www.zomato.com/mumbai/fort-restaurants","1700+ orders placed from here recently","https://www.zomato.com/mumbai/fort-restaurants","https://www.zomato.com/mumbai/fort-restaurants","https://www.zomato.com/mumbai/fort-restaurants","https://www.zomato.com/mumbai/fort-restaurants","https://www.zomato.com/mumbai/light-of-persia-peddar-road/order","https://www.zomato.com/mumbai/onomato-pizza-charni-road/order","https://www.zomato.com/mumbai/the-chinese-point-byculla/order"
"star-fill","star-fill","star-fill","50% OFF up to 100","25 min","https://www.zomato.com/mumbai/fort-restaurants","https://www.zomato.com/mumbai/fort-restaurants","https://www.zomato.com/mumbai/fort-restaurants","South Indian, North Indian, Street Food, Fast Food, Chinese, Beverages, Sichuan","https://www.zomato.com/mumbai/fort-restaurants","₹200 for one","","725+ orders placed from here recently","https://www.zomato.com/mumbai/fort-restaurants","50% OFF up to 100","","55 min","","South Indian, Chinese, North Indian, Street Food, Beverages, Sichuan","","₹200 for one","https://www.zomato.com/mumbai/fort-restaurants","975+ orders placed from here recently","","Restaurant partner follows WHO protocol","","Special Tea House","3.9","Udupi Pure Veg","4.1","61 min","Chinese, Thai, Sushi, Seafood","","","","₹200 for one","","China Gate","New","","","","","https://www.zomato.com/mumbai/fort-restaurants","","","https://www.zomato.com/mumbai/fort-restaurants","https://www.zomato.com/mumbai/fort-restaurants","https://www.zomato.com/mumbai/fort-restaurants","https://www.zomato.com/mumbai/special-tea-house-girgaum/order","https://www.zomato.com/mumbai/udupi-pure-veg-lower-parel/order","https://www.zomato.com/mumbai/china-gate-2-worli/order"
